X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.074637878,4.60880811800001,1642078,12882814,A001606413,2023/12/21 05:00:00+00,20:00:00,2023,DICIEMBRE,JUEVES,2023/12/22 01:00:00+00,KR 13 - CL 20  02,ATROPELLO,SANTA FE,,PEATON,S,2024/02/01 05:00:00+00,MASCULINO,44,PEATON
-74.17877285,4.63490416500002,1642083,12874848,A001574448,2023/09/30 05:00:00+00,22:15:00,2023,SEPTIEMBRE,SABADO,2023/10/01 03:15:00+00,KR 89 B - CL 48 S 02,ATROPELLO,KENNEDY,,PEATON,S,2023/10/02 05:00:00+00,MASCULINO,66,PEATON
-74.074225404,4.60610626900001,1642099,12875111,A001574385,2023/10/04 05:00:00+00,18:20:00,2023,OCTUBRE,MIERCOLES,2023/10/04 23:20:00+00,KR 10 - CL 18  02,ATROPELLO,SANTA FE,,PEATON,S,2023/10/06 05:00:00+00,MASCULINO,24,PEATON
-74.131236921,4.56299910600001,1642113,12752844,A001300734,2021/06/08 05:00:00+00,08:05:00,2021,JUNIO,MARTES,2021/06/08 13:05:00+00,KR 16 B  - CL 57  S 02,ATROPELLO,TUNJUELITO,,PEATON,S,2021/06/10 00:00:00+00,MASCULINO,54,PEATON
-74.146904335,4.61825533500001,1642133,12852629,A001519811,2023/01/22 05:00:00+00,19:26:00,2023,ENERO,DOMINGO,2023/01/23 00:26:00+00,TV 73 A BIS A - DG 37 S 02,ATROPELLO,KENNEDY,,PEATON,N,,FEMENINO,32,PEATON
-74.091938642,4.52121199099997,1642150,12793647,A001390330,2022/01/14 05:00:00+00,13:33:00,2022,ENERO,VIERNES,2022/01/14 18:33:00+00,CL 71 B  S- KR 13 B  E 02,ATROPELLO,SAN CRISTOBAL,,PEATON,N,,FEMENINO,47,PEATON
-74.09783861,4.57197376200003,1642153,12777563,A001345404,2021/10/19 05:00:00+00,19:18:00,2021,OCTUBRE,MARTES,2021/10/20 00:18:00+00,KR 10  - CL 27  S 02,ATROPELLO,SAN CRISTOBAL,,PEATON,S,2021/10/24 00:00:00+00,MASCULINO,66,PEATON
-74.144271145,4.64496974999997,1642157,12868854,A001573884,2023/07/22 05:00:00+00,18:30:00,2023,JULIO,SABADO,2023/07/22 23:30:00+00,KR 80 C - CL 9  02,ATROPELLO,KENNEDY,,PEATON,N,,MASCULINO,1,PEATON
-74.114233087,4.58680161400002,1642158,12817051,A001451547,2022/05/17 05:00:00+00,14:10:00,2022,MAYO,MARTES,2022/05/17 19:10:00+00,CL 30  S- KR 26 B  02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,S,2022/05/20 00:00:00+00,FEMENINO,62,PEATON
-74.114519157,4.59814707599998,1642162,12912076,A001678379,2024/11/06 05:00:00+00,16:01:00,2024,NOVIEMBRE,MIERCOLES,2024/11/06 21:01:00+00,KR 36 - CL 18 S 02,ATROPELLO,PUENTE ARANDA,,PEATON,S,2024/11/09 05:00:00+00,MASCULINO,87,PEATON
-74.109365319,4.60185531799999,1642169,12879705,A001613864,2023/11/17 05:00:00+00,07:34:00,2023,NOVIEMBRE,VIERNES,2023/11/17 12:34:00+00,CL 35 - KR 1 A 02,ATROPELLO,PUENTE ARANDA,,PEATON,N,,MASCULINO,50,PEATON
